,Incident.Created.Year.Month.Display.Code,Related.Root.Configuration.Item.Application.Portfolio.Identifier,Related.Root.Configuration.Item.Business.Friendly.Name,count
1,,103270,WW Sales Out/Channel Inventory,1
2,,104927,3D Comet,1
3,,105078,HPIT:EIFFELGETCALLS,2
4,,105079,HPIT:EIFFELICC,22
5,,105082,HPIT:EIFFEL,482
6,,105112,SAP R/3 Lighthouse (Finance),377
7,,105115,SAP BW/BCS Lighthouse (Finance),55
8,,105120,Transformation Engine,65
9,,105162,IGI,10
10,,105246,hpit:sigla,1
11,,105389,HPIT:EQUATE,95
12,,107247,Worldwide Logistics Information Filter + Extractor,5
13,,107678,Guardian,27
14,,108582,hpit:sen,5
15,,116466,hpit:stone,1
16,,117290,hpit:spin,3
17,,117761,HPIT:ICNONNETTING,1
18,,117779,hpit:sun,18
19,,118929,EDS Decision Support System,23
20,,119753,SAP Content Server,8
21,,120388,hpit:eeft,13
22,,200235,AssureNet,7
23,,200250,ReconNet,1
24,,200898,RRC.net,3
25,,201688,SAP BW/BCS Lighthouse (Finance),1
26,,201689,Polaris,34
27,,201692,Transformation Engine,4
28,,201693,Eiffel Getcalls,5
29,,201694,Eiffel ICC Crako,6
30,,201695,Eiffel,60
31,,201697,eQuate,38
32,,201698,SAP R/3 Lighthouse (Finance),6
33,,201703,Reconciliation Manager,3
34,,201708,IC Non Netting,1
35,,201713,Guardian,6
36,,201719,SunSystems,3
37,,201723,Integrao e Gesto de Estoque,2
38,,201727,Eastern Europe Finance Tools,2
39,,201728,SingularLogic Enterprise ERP,4
40,,201729,Spin,2
41,,201733,Revenue Recognition Checklist,3
42,,201758,Polaris,29
43,,201762,Eiffel Getcalls,9
44,,201763,Eiffel IC Completer,27
45,,201764,Eiffel,108
46,,201765,Worldwide Logistics Information Filter + Extractor,2
47,,201766,eQuate,19
48,,201770,Reconciliation Manager,3
49,,201773,RRC Net (HPE),3
50,,201790,Integration and Management (Brazil),2
51,,201792,Contabil,1
52,,201869,SAP Content Server,4
53,2015/08,105078,HPIT:EIFFELGETCALLS,1
54,2015/08,105079,HPIT:EIFFELICC,12
55,2015/08,105082,HPIT:EIFFEL,411
56,2015/08,105112,SAP R/3 Lighthouse (Finance),84
57,2015/08,105115,SAP BW/BCS Lighthouse (Finance),12
58,2015/08,105120,Transformation Engine,20
59,2015/08,105389,HPIT:EQUATE,13
60,2015/08,107678,Guardian,6
61,2015/08,108582,hpit:sen,4
62,2015/08,117779,hpit:sun,3
63,2015/08,118929,EDS Decision Support System,1
64,2015/08,119753,SAP Content Server,3
65,2015/08,120388,hpit:eeft,5
66,2015/08,200235,AssureNet,17
67,2015/08,200250,ReconNet,1
68,2015/08,201688,SAP BW/BCS Lighthouse (Finance),23
69,2015/08,201689,Polaris,10
70,2015/08,201692,Transformation Engine,9
71,2015/08,201693,Eiffel Getcalls,5
72,2015/08,201694,Eiffel ICC Crako,2
73,2015/08,201695,Eiffel,41
74,2015/08,201697,eQuate,4
75,2015/08,201698,SAP R/3 Lighthouse (Finance),121
76,2015/08,201703,Reconciliation Manager,1
77,2015/08,201713,Guardian,10
78,2015/08,201723,Integrao e Gesto de Estoque,3
79,2015/08,201729,Spin,11
80,2015/08,201758,Polaris,5
81,2015/08,201759,AssureNET,2
82,2015/08,201762,Eiffel Getcalls,5
83,2015/08,201763,Eiffel IC Completer,13
84,2015/08,201764,Eiffel,82
85,2015/08,201766,eQuate,5
86,2015/08,201770,Reconciliation Manager,2
87,2015/08,201790,Integration and Management (Brazil),13
88,2015/09,104927,3D Comet,6
89,2015/09,105078,HPIT:EIFFELGETCALLS,12
90,2015/09,105079,HPIT:EIFFELICC,224
91,2015/09,105082,HPIT:EIFFEL,1234
92,2015/09,105112,SAP R/3 Lighthouse (Finance),9559
93,2015/09,105115,SAP BW/BCS Lighthouse (Finance),311
94,2015/09,105120,Transformation Engine,239
95,2015/09,105162,IGI,9
96,2015/09,105389,HPIT:EQUATE,55
97,2015/09,107247,Worldwide Logistics Information Filter + Extractor,1
98,2015/09,107678,Guardian,13
99,2015/09,108582,hpit:sen,59
100,2015/09,117119,EMEA Contra Revenue,1
101,2015/09,117290,hpit:spin,26
102,2015/09,117779,hpit:sun,11
103,2015/09,118929,EDS Decision Support System,16
104,2015/09,119753,SAP Content Server,10
105,2015/09,120388,hpit:eeft,51
106,2015/09,200235,AssureNet,123
107,2015/09,200250,ReconNet,4
108,2015/09,200898,RRC.net,2
109,2015/09,201688,SAP BW/BCS Lighthouse (Finance),32
110,2015/09,201689,Polaris,114
111,2015/09,201692,Transformation Engine,14
112,2015/09,201693,Eiffel Getcalls,19
113,2015/09,201694,Eiffel ICC Crako,5
114,2015/09,201695,Eiffel,473
115,2015/09,201696,Worldwide Logistics Information Filter + Extractor,3
116,2015/09,201697,eQuate,9
117,2015/09,201698,SAP R/3 Lighthouse (Finance),367
118,2015/09,201703,Reconciliation Manager,7
119,2015/09,201713,Guardian,14
120,2015/09,201719,SunSystems,5
121,2015/09,201723,Integrao e Gesto de Estoque,15
122,2015/09,201724,Sigla,1
123,2015/09,201725,Contabil,1
124,2015/09,201727,Eastern Europe Finance Tools,52
125,2015/09,201728,SingularLogic Enterprise ERP,4
126,2015/09,201729,Spin,188
127,2015/09,201733,Revenue Recognition Checklist,2
128,2015/09,201758,Polaris,49
129,2015/09,201759,AssureNET,13
130,2015/09,201760,ReconNET,9
131,2015/09,201762,Eiffel Getcalls,5
132,2015/09,201763,Eiffel IC Completer,12
133,2015/09,201764,Eiffel,656
134,2015/09,201765,Worldwide Logistics Information Filter + Extractor,1
135,2015/09,201766,eQuate,17
136,2015/09,201770,Reconciliation Manager,11
137,2015/09,201773,RRC Net (HPE),9
138,2015/09,201774,EMEA Contra Rev,1
139,2015/09,201775,IC Non Netting,1
140,2015/09,201790,Integration and Management (Brazil),90
141,2015/09,201850,WW Sales Out/Channel Inventory,1
142,2015/09,201869,SAP Content Server,1
143,2015/10,104927,3D Comet,14
144,2015/10,105078,HPIT:EIFFELGETCALLS,27
145,2015/10,105079,HPIT:EIFFELICC,24
146,2015/10,105082,HPIT:EIFFEL,1082
147,2015/10,105112,SAP R/3 Lighthouse (Finance),3430
148,2015/10,105115,SAP BW/BCS Lighthouse (Finance),212
149,2015/10,105120,Transformation Engine,185
150,2015/10,105162,IGI,5
151,2015/10,105246,hpit:sigla,7
152,2015/10,105389,HPIT:EQUATE,49
153,2015/10,107247,Worldwide Logistics Information Filter + Extractor,1
154,2015/10,107678,Guardian,22
155,2015/10,108582,hpit:sen,2
156,2015/10,117119,EMEA Contra Revenue,3
157,2015/10,117290,hpit:spin,15
158,2015/10,117779,hpit:sun,20
159,2015/10,118114,hpit:fullturnkey,4
160,2015/10,118929,EDS Decision Support System,2
161,2015/10,118937,EDS Finance Journal Entry Workflow and Supporting Documentat,5
162,2015/10,119753,SAP Content Server,8
163,2015/10,120388,hpit:eeft,73
164,2015/10,200235,AssureNet,59
165,2015/10,200250,ReconNet,5
166,2015/10,201688,SAP BW/BCS Lighthouse (Finance),77
167,2015/10,201689,Polaris,95
168,2015/10,201692,Transformation Engine,53
169,2015/10,201693,Eiffel Getcalls,7
170,2015/10,201694,Eiffel ICC Crako,21
171,2015/10,201695,Eiffel,468
172,2015/10,201696,Worldwide Logistics Information Filter + Extractor,2
173,2015/10,201697,eQuate,38
174,2015/10,201698,SAP R/3 Lighthouse (Finance),747
175,2015/10,201703,Reconciliation Manager,4
176,2015/10,201713,Guardian,58
177,2015/10,201719,SunSystems,2
178,2015/10,201723,Integrao e Gesto de Estoque,6
179,2015/10,201724,Sigla,1
180,2015/10,201725,Contabil,4
181,2015/10,201727,Eastern Europe Finance Tools,33
182,2015/10,201728,SingularLogic Enterprise ERP,9
183,2015/10,201729,Spin,47
184,2015/10,201758,Polaris,67
185,2015/10,201759,AssureNET,2
186,2015/10,201762,Eiffel Getcalls,25
187,2015/10,201763,Eiffel IC Completer,8
188,2015/10,201764,Eiffel,849
189,2015/10,201766,eQuate,19
190,2015/10,201770,Reconciliation Manager,7
191,2015/10,201773,RRC Net (HPE),4
192,2015/10,201774,EMEA Contra Rev,3
193,2015/10,201790,Integration and Management (Brazil),16
194,2015/10,201850,WW Sales Out/Channel Inventory,1
195,2015/10,201869,SAP Content Server,5
196,2015/11,104927,3D Comet,7
197,2015/11,105078,HPIT:EIFFELGETCALLS,4
198,2015/11,105079,HPIT:EIFFELICC,4
199,2015/11,105082,HPIT:EIFFEL,685
200,2015/11,105112,SAP R/3 Lighthouse (Finance),2077
201,2015/11,105115,SAP BW/BCS Lighthouse (Finance),363
202,2015/11,105120,Transformation Engine,170
203,2015/11,105162,IGI,14
204,2015/11,105246,hpit:sigla,2
205,2015/11,105389,HPIT:EQUATE,11
206,2015/11,107678,Guardian,48
207,2015/11,108582,hpit:sen,9
208,2015/11,117119,EMEA Contra Revenue,1
209,2015/11,117290,hpit:spin,23
210,2015/11,117779,hpit:sun,10
211,2015/11,118114,hpit:fullturnkey,1
212,2015/11,118937,EDS Finance Journal Entry Workflow and Supporting Documentat,3
213,2015/11,119753,SAP Content Server,20
214,2015/11,120388,hpit:eeft,36
215,2015/11,200235,AssureNet,37
216,2015/11,200898,RRC.net,2
217,2015/11,201688,SAP BW/BCS Lighthouse (Finance),115
218,2015/11,201689,Polaris,196
219,2015/11,201692,Transformation Engine,81
220,2015/11,201693,Eiffel Getcalls,3
221,2015/11,201694,Eiffel ICC Crako,8
222,2015/11,201695,Eiffel,399
223,2015/11,201697,eQuate,22
224,2015/11,201698,SAP R/3 Lighthouse (Finance),687
225,2015/11,201703,Reconciliation Manager,3
226,2015/11,201708,IC Non Netting,1
227,2015/11,201713,Guardian,25
228,2015/11,201719,SunSystems,2
229,2015/11,201723,Integrao e Gesto de Estoque,1
230,2015/11,201725,Contabil,1
231,2015/11,201727,Eastern Europe Finance Tools,48
232,2015/11,201728,SingularLogic Enterprise ERP,5
233,2015/11,201729,Spin,34
234,2015/11,201733,Revenue Recognition Checklist,3
235,2015/11,201758,Polaris,101
236,2015/11,201759,AssureNET,16
237,2015/11,201762,Eiffel Getcalls,15
238,2015/11,201763,Eiffel IC Completer,7
239,2015/11,201764,Eiffel,726
240,2015/11,201766,eQuate,16
241,2015/11,201770,Reconciliation Manager,12
242,2015/11,201775,IC Non Netting,1
243,2015/11,201790,Integration and Management (Brazil),8
244,2015/11,201869,SAP Content Server,4
245,2015/12,104927,3D Comet,6
246,2015/12,105079,HPIT:EIFFELICC,111
247,2015/12,105082,HPIT:EIFFEL,534
248,2015/12,105112,SAP R/3 Lighthouse (Finance),3314
249,2015/12,105115,SAP BW/BCS Lighthouse (Finance),216
250,2015/12,105120,Transformation Engine,271
251,2015/12,105162,IGI,6
252,2015/12,105389,HPIT:EQUATE,9
253,2015/12,107678,Guardian,14
254,2015/12,108582,hpit:sen,17
255,2015/12,117119,EMEA Contra Revenue,2
256,2015/12,117290,hpit:spin,17
257,2015/12,117761,HPIT:ICNONNETTING,1
258,2015/12,117779,hpit:sun,9
259,2015/12,118929,EDS Decision Support System,1
260,2015/12,118937,EDS Finance Journal Entry Workflow and Supporting Documentat,2
261,2015/12,119753,SAP Content Server,29
262,2015/12,120388,hpit:eeft,35
263,2015/12,200235,AssureNet,21
264,2015/12,200250,ReconNet,3
265,2015/12,200898,RRC.net,1
266,2015/12,201688,SAP BW/BCS Lighthouse (Finance),77
267,2015/12,201689,Polaris,181
268,2015/12,201692,Transformation Engine,62
269,2015/12,201693,Eiffel Getcalls,14
270,2015/12,201694,Eiffel ICC Crako,4
271,2015/12,201695,Eiffel,414
272,2015/12,201696,Worldwide Logistics Information Filter + Extractor,1
273,2015/12,201697,eQuate,35
274,2015/12,201698,SAP R/3 Lighthouse (Finance),547
275,2015/12,201703,Reconciliation Manager,3
276,2015/12,201708,IC Non Netting,2
277,2015/12,201713,Guardian,29
278,2015/12,201719,SunSystems,4
279,2015/12,201723,Integrao e Gesto de Estoque,7
280,2015/12,201724,Sigla,1
281,2015/12,201725,Contabil,1
282,2015/12,201727,Eastern Europe Finance Tools,16
283,2015/12,201728,SingularLogic Enterprise ERP,4
284,2015/12,201729,Spin,77
285,2015/12,201733,Revenue Recognition Checklist,1
286,2015/12,201758,Polaris,63
287,2015/12,201759,AssureNET,8
288,2015/12,201760,ReconNET,1
289,2015/12,201762,Eiffel Getcalls,11
290,2015/12,201763,Eiffel IC Completer,36
291,2015/12,201764,Eiffel,757
292,2015/12,201765,Worldwide Logistics Information Filter + Extractor,1
293,2015/12,201766,eQuate,17
294,2015/12,201770,Reconciliation Manager,8
295,2015/12,201773,RRC Net (HPE),5
296,2015/12,201774,EMEA Contra Rev,13
297,2015/12,201775,IC Non Netting,2
298,2015/12,201790,Integration and Management (Brazil),7
299,2015/12,201869,SAP Content Server,4
300,2016/01,105082,HPIT:EIFFEL,4
301,2016/01,105112,SAP R/3 Lighthouse (Finance),126
302,2016/01,105120,Transformation Engine,19
303,2016/01,105389,HPIT:EQUATE,2
304,2016/01,201689,Polaris,14
305,2016/01,201692,Transformation Engine,15
306,2016/01,201695,Eiffel,22
307,2016/01,201698,SAP R/3 Lighthouse (Finance),5
308,2016/01,201729,Spin,9
309,2016/01,201764,Eiffel,71
